TEAM_ABBREVIATION,N_SHOTS,EXPOSURE_PER_SHOT,PREMATURE,MEAN_SECOND,SEASON
DET,6742,0.0044870229619769116,0.049836843666567786,11.826460990803916,2023
GSW,6957,0.0071143824339577185,0.07230127928704902,11.924680178237747,2023
HOU,6960,0.0075451159293455725,0.0896551724137931,11.724281609195403,2023
IND,7162,0.006377208997463958,0.06548450153588384,12.523317509075676,2023
LAC,6533,0.004353381086685858,0.053268023878769326,11.510026021735802,2023
LAL,6678,0.0023835936496715785,0.03533992213237496,11.881401617250674,2023
MEM,6699,0.0011174940460414002,0.01567398119122257,11.457083146738318,2023
MIA,6447,0.004712497237014328,0.05552970373817279,11.382503489995347,2023
MIL,6757,0.0034097341235272724,0.04913423116767796,11.716886192097084,2023
MIN,6469,0.004241576761584109,0.0605966919152883,11.410573504405626,2023
NOP,6683,0.007511681898112082,0.07047733054017656,11.794553344306449,2023
NYK,6675,0.004382916802798954,0.051385767790262174,11.082846441947565,2023
OKC,6876,0.004692201404316108,0.05133798720186155,12.229930191972077,2023
ORL,6393,0.004571173225956833,0.050524010636633816,11.21586109807602,2023
PHI,6718,0.0029722328865752884,0.037660017862459066,11.422447156891932,2023
PHX,6526,0.0027619368244128045,0.03386454183266932,11.522218817039533,2023
POR,6795,0.005161968282733044,0.048712288447387786,11.550404709345107,2023
SAC,6885,0.005373342168701945,0.06579520697167757,12.319535221496006,2023
SAS,6934,0.002655696097113528,0.03259301990193251,12.22541101817133,2023
TOR,6864,0.0019107029481527824,0.02607808857808858,12.223484848484848,2023
UTA,6872,0.005737595479448231,0.06504656577415599,11.601717112922003,2023
WAS,7006,0.0020796050144090902,0.02954610333999429,12.351984013702541,2023
