SEASON,TEAM,BLOCK,PREMATURE,N_SHOTS,MEAN_SHOT_VALUE,MEAN_SECOND,PPP,N_POSS,NEXT_BLOCK,NEXT_PPP,NEXT_N_POSS
2018,SAS,2,0.04283164782867341,1681,1.1818652593589491,11.429506246281974,1.152,1875,3,1.15401419989077,1831
2018,TOR,0,0.055288461538461536,1664,1.2575405096675494,12.304086538461538,1.166053599579611,1903,1,1.144816236972024,1823
2018,TOR,1,0.06646153846153846,1625,1.2377229593229768,11.941538461538462,1.144816236972024,1823,2,1.1856382978723403,1880
2018,TOR,2,0.060697115384615384,1664,1.2402043491854746,12.022235576923077,1.1856382978723403,1880,3,1.1684665226781858,1852
2018,UTA,0,0.06402048655569782,1562,1.2511934082073406,11.565300896286812,1.092315901814301,1874,1,1.13148049171566,1871
2018,UTA,1,0.06523076923076923,1625,1.2628876869427157,11.637538461538462,1.13148049171566,1871,2,1.166841552990556,1906
2018,UTA,2,0.06044284859365649,1671,1.250935554429818,11.845002992220227,1.166841552990556,1906,3,1.1761904761904762,1890
2018,WAS,0,0.05146618791143028,1671,1.2376527381618372,12.22920406941951,1.117280747275558,1927,1,1.1122026887280247,1934
2018,WAS,1,0.043834015195791935,1711,1.266258169223949,12.036236119228521,1.1122026887280247,1934,2,1.1518789144050103,1916
2018,WAS,2,0.0713436385255648,1682,1.2326075266391046,12.33769322235434,1.1518789144050103,1916,3,1.152711953659821,1899
2019,ATL,0,0.04049079754601227,1630,1.2769855695789591,12.1159509202454,1.0806032241289651,1923,1,1.0560699588477367,1944
2019,ATL,1,0.034382284382284384,1716,1.250576884351736,12.414918414918414,1.0560699588477367,1944,2,1.1534552845528456,1968
2019,BKN,0,0.02172636523781562,1703,1.3062211738063358,12.05871990604815,1.1123653155464341,1949,1,1.07016632016632,1924
2019,BKN,1,0.024734982332155476,1698,1.3064710870385612,12.084805653710248,1.07016632016632,1924,2,1.1519453207150367,1902
2019,BKN,2,0.038190364277320796,1702,1.2693124699641845,11.95358401880141,1.1519453207150367,1902,3,1.1713286713286712,1144
2019,BOS,0,0.056920311563810666,1669,1.2258745521272245,11.893948472139005,1.133764832793959,1854,1,1.1688453159041394,1836
2019,BOS,1,0.03537170263788969,1668,1.244312263105857,11.363309352517986,1.1688453159041394,1836,2,1.1851265822784811,1896
2019,BOS,2,0.05056513979773944,1681,1.2384634915562336,11.635336109458656,1.1851265822784811,1896,3,1.1683079677708146,1117
2019,CHA,0,0.05246720799500312,1601,1.2134700212015355,11.633978763272955,1.1170973062122045,1819,1,1.102063580591188,1793
2019,CHA,1,0.0449438202247191,1602,1.2095859756125833,11.21598002496879,1.102063580591188,1793,2,1.0466439135381116,1758
2019,CHI,0,0.030642309958750738,1697,1.269992153222251,12.742486741308191,1.0606060606060606,1914,1,1.0958677685950413,1815
2019,CHI,1,0.02836004932182491,1622,1.2727752430353194,11.787916152897656,1.0958677685950413,1815,2,1.1465002712967987,1843
2019,CLE,0,0.037130270610446825,1589,1.2454208852849509,11.4235368156073,1.0677966101694916,1829,1,1.1066298342541436,1810
2019,CLE,1,0.046787273861509666,1603,1.2455670763357884,11.205864004990643,1.1066298342541436,1810,2,1.1176154672395273,1862
2019,DAL,0,0.023515579071134628,1701,1.2661425672228939,11.681363903586126,1.1899736147757256,1895,1,1.1956164383561645,1825
2019,DAL,1,0.031212484993997598,1666,1.2634420017897852,11.379951980792317,1.1956164383561645,1825,2,1.2082884822389666,1858
2019,DAL,2,0.02031063321385902,1674,1.252300647238982,11.652329749103943,1.2082884822389666,1858,3,1.1734342739160357,1453
2019,DEN,0,0.04488330341113106,1671,1.2613974594956656,11.648114901256733,1.0969664138678223,1846,1,1.1824817518248176,1781
2019,DEN,1,0.036855036855036855,1628,1.2690608680069628,11.568796068796068,1.1824817518248176,1781,2,1.1795148247978438,1855
2019,DEN,2,0.062310949788263764,1653,1.2413795560239695,11.357531760435572,1.1795148247978438,1855,3,1.1752951861943688,1101
2019,DET,0,0.032089063523248196,1527,1.2251057219819272,11.254747871643746,1.1362637362637362,1820,1,1.102118413905486,1841
2019,DET,1,0.04215747055176689,1613,1.228932652045853,11.56788592684439,1.102118413905486,1841,2,1.1161362367392518,1791
2019,GSW,0,0.13650030066145522,1663,1.1954736694010564,11.879735417919422,1.0952380952380953,1890,1,1.032795698924731,1860
2019,GSW,1,0.16209628275441804,1641,1.160945464845517,11.728823887873247,1.032795698924731,1860,2,1.070489216201999,1901
2019,HOU,0,0.04013961605584642,1719,1.2870431624944487,12.670738801628854,1.1648185483870968,1984,1,1.1567282321899737,1895
2019,HOU,1,0.05312317571511967,1713,1.2884385675832002,12.399299474605954,1.1567282321899737,1895,2,1.1742543171114599,1911
2019,HOU,2,0.04345273047563124,1703,1.2942524087913152,12.39870816206694,1.1742543171114599,1911,3,1.090601185436071,1181
2019,IND,0,0.04388531304856641,1709,1.2321280251534001,11.794031597425395,1.1140117208311135,1877,1,1.1267142073505212,1823
2019,IND,1,0.04424242424242424,1650,1.234169908583345,11.765454545454546,1.1267142073505212,1823,2,1.1313513513513513,1850
2019,IND,2,0.028985507246376812,1656,1.2576081247936512,11.402777777777779,1.1313513513513513,1850,3,1.10498687664042,1143
2019,LAC,0,0.023090586145648313,1689,1.2782015894644752,12.355831853167555,1.1275720164609053,1944,1,1.162706611570248,1936
2019,LAC,1,0.024390243902439025,1681,1.26575140670381,12.132064247471742,1.162706611570248,1936,2,1.1939746300211416,1892
2019,LAC,2,0.020035356511490868,1697,1.2741678394409357,12.278727165586329,1.1939746300211416,1892,3,1.2435643564356436,1010
2019,LAL,0,0.009726443768996961,1645,1.3220428183693413,11.894224924012159,1.133581692389569,1879,1,1.177479892761394,1865
2019,LAL,1,0.01834862385321101,1635,1.2965488519584456,11.84097859327217,1.177479892761394,1865,2,1.1641160949868075,1895
2019,LAL,2,0.023283582089552238,1675,1.299541663013519,12.305671641791045,1.1641160949868075,1895,3,1.068007662835249,1044
2019,MEM,0,0.017724413950829045,1749,1.2615456294447014,12.181818181818182,1.0769230769230769,1963,1,1.1725370086778968,1959
2019,MEM,1,0.03130434782608696,1725,1.2607213067121696,11.972753623188407,1.1725370086778968,1959,2,1.1084710743801653,1936
2019,MEM,2,0.03002309468822171,1732,1.263486182122221,12.49364896073903,1.1084710743801653,1936,3,1.1366906474820144,1251
