SEASON,TEAM_ABBREVIATION,TEAM_ID,OVERLAP,PRIOR_QUALITY,TEAM_FGA,TEAM_PTS_FG,TEAM_XPTS,N_CORE,FGA,FTA,TOV,ORB,FGM,FTM,POSS,ORTG_FG,PTS_PER_FGA,PTS_VS_XPTS
2021,IND,,0.9103858568211822,1.090405399192153,7114,7576,7743.432546818414,8,7232,1736,1147,1224,3355,1334,7918.84,95.67057801395154,1.0649423671633398,-0.02353564054236917
2021,LAC,,0.8951596097367575,1.14737241795815,6919,7369,7394.380712064925,8,7049,1601,1115,974,3230,1263,7894.4400000000005,93.34417640769959,1.065038300332418,-0.003668263053176083
2021,LAL,,0.921579100086154,1.0452803315262227,6988,7513,7589.369228767895,8,7184,1873,1191,1013,3376,1361,8186.12,91.77730109013794,1.0751287922152262,-0.010928624609029056
2021,MEM,,0.9357472227470128,1.044176314386521,7496,7877,8206.15666432722,8,7647,1871,1024,1426,3529,1390,8068.24,97.6297185011849,1.0508271077908218,-0.043910974429991985
2021,MIA,,0.8149334556971083,1.0867191457555545,6673,7377,7207.086461705986,8,6854,1772,1197,1027,3197,1428,7803.68,94.53232321161298,1.1054997752135471,0.02546284104510924
2021,MIL,,0.9134362250453871,1.1477054051602682,7123,7828,7852.16510200422,8,7223,1856,1067,1068,3385,1433,8038.64,97.37965626026292,1.0989751509195564,-0.0033925455572399255
2021,MIN,,0.9286911405017503,1.0726279651614428,7221,7828,8135.058583183323,8,7344,1812,1154,1166,3376,1406,8129.28,96.29389072586994,1.0840603794488297,-0.04252300002538751
2021,NOP,,0.8876317029523151,1.108365484800501,6923,7277,7439.956580496998,8,7100,1831,1092,1192,3253,1442,7805.64,93.22746116910336,1.0511339014877943,-0.02353843427661389
2021,NYK,,0.8821352686181972,1.065223139004585,6791,7034,7411.750851064128,8,6968,1968,1049,1171,3042,1462,7711.92,91.2094523802114,1.0357826535120012,-0.05562521735593112
2021,OKC,,0.9525401280747456,1.0131130283153758,7044,7079,7242.744703875533,8,7171,1684,1137,1056,3094,1295,7992.96,88.56543758507487,1.0049687677455992,-0.023245982946554892
2021,ORL,,0.944000332851708,0.982133225708765,6980,7043,7370.551010821355,8,7136,1657,1198,997,3094,1293,8066.08,87.31626762938131,1.0090257879656161,-0.04692707891423421
2021,PHI,,0.9047453320129053,1.0960431021542891,6616,7135,7214.970060170937,8,6834,1905,987,909,3195,1548,7750.2,92.06214033186241,1.0784461910519951,-0.01208737306090347
2021,PHX,,0.8801476839767997,1.157269899183782,7121,7891,7629.38470198828,8,7294,1602,1042,1006,3539,1266,8034.88,98.20930741965033,1.1081308804943126,0.036738561720505596
2021,POR,,0.8926262321288354,1.1033295709348456,6927,7186,7551.220364612435,8,7050,1793,1162,1064,3125,1365,7936.92,90.53889922035248,1.0373899234878015,-0.05272417563338174
2021,SAC,,0.9189827746306877,1.118415707007875,6952,7328,7493.088125070903,8,7098,1837,1130,1003,3272,1421,8033.28,91.22052262587636,1.0540851553509782,-0.023746853433674137
